strategy_name,setup_type,day_type,trend_strength,session_date,entry_time,exit_time,bars_held,direction,contracts,signal_price,entry_price,exit_price,stop_price,target_price,gross_pnl,commission,slippage_cost,net_pnl,exit_reason,r_multiple,is_winner
Opening Range Rev,OR_REVERSAL_SHORT,neutral,moderate,2025-09-05 00:00:00,2025-09-05 10:30:00,2025-09-05 10:31:00,1,SHORT,2,24320.0,24320.0,24144.93,24408.04,24144.68,700.3,2.48,2.0,695.82,TARGET,1.99,1
Opening Range Rev,OR_REVERSAL_SHORT,neutral,moderate,2025-09-17 00:00:00,2025-09-17 10:30:00,2025-09-17 12:40:00,130,SHORT,3,24753.5,24753.5,24642.85,24809.33,24642.6,663.9,3.72,3.0,657.18,TARGET,1.98,1
Opening Range Rev,OR_REVERSAL_SHORT,neutral,moderate,2025-09-26 00:00:00,2025-09-26 10:30:00,2025-09-26 13:00:00,150,SHORT,2,24895.25,24895.25,24947.75,24989.2,24708.1,-210.0,2.48,2.0,-214.48,VWAP_BREACH_PM,-0.56,0
Opening Range Rev,OR_REVERSAL_SHORT,neutral,moderate,2025-10-02 00:00:00,2025-10-02 10:30:00,2025-10-02 13:13:00,163,SHORT,2,25349.75,25349.75,25336.25,25448.75,25152.5,54.0,2.48,2.0,49.52,VWAP_BREACH_PM,0.14,1
Opening Range Rev,OR_REVERSAL_SHORT,neutral,moderate,2025-10-03 00:00:00,2025-10-03 10:30:00,2025-10-03 13:04:00,154,SHORT,4,25393.75,25393.75,25313.07,25393.75,25312.82,645.4,4.96,4.0,636.44,TARGET,0.0,1
Opening Range Rev,OR_REVERSAL_LONG,neutral,moderate,2025-11-11 00:00:00,2025-11-11 10:30:00,2025-11-11 10:31:00,1,LONG,2,25883.75,25883.75,25803.64,25803.89,26042.72,-320.45,2.48,2.0,-324.93,STOP,-1.0,0
Opening Range Rev,OR_REVERSAL_LONG,neutral,moderate,2025-11-17 00:00:00,2025-11-17 10:30:00,2025-11-17 13:00:00,150,LONG,1,25386.5,25386.5,25257.25,25166.65,25825.45,-258.5,1.24,1.0,-260.74,VWAP_BREACH_PM,-0.59,0
Opening Range Rev,OR_REVERSAL_SHORT,neutral,moderate,2025-11-21 00:00:00,2025-11-21 10:30:00,2025-11-21 11:58:00,88,SHORT,1,24441.5,24441.5,24584.22,24583.97,24157.3,-285.45,1.24,1.0,-287.69,STOP,-1.0,0
Opening Range Rev,OR_REVERSAL_LONG,neutral,moderate,2025-12-01 00:00:00,2025-12-01 10:30:00,2025-12-01 12:43:00,133,LONG,2,25535.5,25535.5,25725.07,25440.21,25725.32,758.3,2.48,2.0,753.82,TARGET,1.99,1
Opening Range Rev,OR_REVERSAL_LONG,neutral,moderate,2025-12-03 00:00:00,2025-12-03 10:30:00,2025-12-03 15:30:00,300,LONG,1,25808.5,25808.5,25938.5,25808.5,26084.15,260.0,1.24,1.0,257.76,EOD,0.0,1
Opening Range Rev,OR_REVERSAL_LONG,neutral,moderate,2025-12-09 00:00:00,2025-12-09 10:30:00,2025-12-09 15:30:00,300,LONG,2,25892.25,25892.25,25953.25,25892.25,26071.05,244.0,2.48,2.0,239.52,EOD,0.0,1
Opening Range Rev,OR_REVERSAL_SHORT,neutral,moderate,2025-12-11 00:00:00,2025-12-11 10:30:00,2025-12-11 13:00:00,150,SHORT,2,25848.75,25848.75,25849.25,25948.04,25650.93,-2.0,2.48,2.0,-6.48,VWAP_BREACH_PM,-0.01,0
Opening Range Rev,OR_REVERSAL_SHORT,neutral,moderate,2025-12-15 00:00:00,2025-12-15 10:30:00,2025-12-15 10:31:00,1,SHORT,2,25599.75,25599.75,25404.32,25697.96,25404.07,781.7,2.48,2.0,777.22,TARGET,1.99,1
Opening Range Rev,OR_REVERSAL_SHORT,neutral,moderate,2025-12-22 00:00:00,2025-12-22 10:30:00,2025-12-22 13:00:00,150,SHORT,2,25726.0,25726.0,25721.25,25813.12,25552.5,19.0,2.48,2.0,14.52,VWAP_BREACH_PM,0.05,1
Opening Range Rev,OR_REVERSAL_LONG,neutral,moderate,2025-12-23 00:00:00,2025-12-23 10:30:00,2025-12-23 15:30:00,300,LONG,2,25697.0,25697.0,25798.0,25697.0,25848.22,404.0,2.48,2.0,399.52,EOD,0.0,1
Opening Range Rev,OR_REVERSAL_SHORT,neutral,moderate,2025-12-26 00:00:00,2025-12-26 10:30:00,2025-12-26 13:52:00,202,SHORT,4,25896.0,25896.0,25890.0,25896.0,25797.02,48.0,4.96,4.0,39.04,VWAP_BREACH_PM,0.0,1
Opening Range Rev,OR_REVERSAL_LONG,neutral,moderate,2025-12-29 00:00:00,2025-12-29 10:30:00,2025-12-29 13:00:00,150,LONG,1,25771.25,25771.25,25699.75,25641.04,26030.93,-143.0,1.24,1.0,-145.24,VWAP_BREACH_PM,-0.55,0
Opening Range Rev,OR_REVERSAL_LONG,neutral,moderate,2025-12-30 00:00:00,2025-12-30 10:30:00,2025-12-30 13:01:00,151,LONG,3,25718.5,25718.5,25716.5,25659.17,25836.4,-12.0,3.72,3.0,-18.72,VWAP_BREACH_PM,-0.03,0
Opening Range Rev,OR_REVERSAL_SHORT,neutral,moderate,2026-01-09 00:00:00,2026-01-09 10:30:00,2026-01-09 10:31:00,1,SHORT,1,25705.75,25705.75,25811.76,25811.51,25494.98,-212.03,1.24,1.0,-214.27,STOP,-1.0,0
Opening Range Rev,OR_REVERSAL_SHORT,neutral,moderate,2026-01-13 00:00:00,2026-01-13 10:30:00,2026-01-13 15:30:00,300,SHORT,2,25965.0,25965.0,25827.75,25965.0,25776.65,549.0,2.48,2.0,544.52,EOD,0.0,1
Opening Range Rev,OR_REVERSAL_SHORT,neutral,moderate,2026-01-16 00:00:00,2026-01-16 10:30:00,2026-01-16 10:31:00,1,SHORT,2,25845.0,25845.0,25709.38,25913.31,25709.12,542.5,2.48,2.0,538.02,TARGET,1.99,1
Opening Range Rev,OR_REVERSAL_SHORT,neutral,moderate,2026-01-22 00:00:00,2026-01-22 10:30:00,2026-01-22 13:00:00,150,SHORT,2,25666.25,25666.25,25712.5,25758.38,25482.75,-185.0,2.48,2.0,-189.48,VWAP_BREACH_PM,-0.5,0
Opening Range Rev,OR_REVERSAL_LONG,neutral,moderate,2026-02-09 00:00:00,2026-02-09 10:30:00,2026-02-09 14:29:00,239,LONG,1,25087.75,25087.75,25421.15,25087.75,25421.4,666.8,1.24,1.0,664.56,TARGET,0.0,1
Opening Range Rev,OR_REVERSAL_SHORT,neutral,moderate,2026-02-10 00:00:00,2026-02-10 10:30:00,2026-02-10 10:32:00,2,SHORT,2,25333.5,25333.5,25433.39,25433.14,25134.98,-399.55,2.48,2.0,-404.03,STOP,-1.0,0
Opening Range Rev,OR_REVERSAL_SHORT,neutral,moderate,2026-02-11 00:00:00,2026-02-11 10:30:00,2026-02-11 10:31:00,1,SHORT,1,25351.75,25351.75,25074.6,25490.83,25074.35,554.3,1.24,1.0,552.06,TARGET,1.99,1
Opening Range Rev,OR_REVERSAL_SHORT,neutral,moderate,2026-02-12 00:00:00,2026-02-12 10:30:00,2026-02-12 10:32:00,2,SHORT,2,25353.75,25353.75,25220.1,25421.08,25219.85,534.6,2.48,2.0,530.12,TARGET,1.99,1
Opening Range Rev,OR_REVERSAL_LONG,neutral,moderate,2026-02-13 00:00:00,2026-02-13 10:30:00,2026-02-13 15:28:00,298,LONG,1,24716.25,24716.25,24773.25,24716.25,25071.72,114.0,1.24,1.0,111.76,VWAP_BREACH_PM,0.0,1
Opening Range Rev,OR_REVERSAL_LONG,neutral,moderate,2026-02-19 00:00:00,2026-02-19 10:30:00,2026-02-19 13:00:00,150,LONG,1,24872.0,24872.0,24779.75,24739.45,25136.35,-184.5,1.24,1.0,-186.74,VWAP_BREACH_PM,-0.7,0
Opening Range Rev,OR_REVERSAL_LONG,neutral,moderate,2026-02-20 00:00:00,2026-02-20 10:30:00,2026-02-20 15:30:00,300,LONG,1,24851.0,24851.0,25020.0,24851.0,25278.95,338.0,1.24,1.0,335.76,EOD,0.0,1
